time,CH1,,time2,CH2,,time3,CH3
-0.005,0.8246883042180827,,-0.005,9.126031772232396,,-0.005,2.900057798892938
-0.00499968,0.8441287542446363,,-0.00499968,9.138770386150892,,-0.00499968,2.903218082530202
-0.0049993600000000004,0.8570890542623387,,-0.0049993600000000004,9.167432267467511,,-0.0049993600000000004,2.9063783661674663
-0.00499904,0.8570890542623387,,-0.00499904,9.17380157442676,,-0.00499904,2.912698933441995
-0.00499872,0.8408886792402107,,-0.00499872,9.192909495304505,,-0.00499872,2.9221797843537876
-0.0049984,0.8473688292490619,,-0.0049984,9.205648109223002,,-0.0049984,2.9190195007165234
-0.00499808,0.8570890542623387,,-0.00499808,9.221571376621123,,-0.00499808,2.9348209189028447
-0.00499776,0.8311684542269339,,-0.00499776,9.23430999053962,,-0.00499776,2.941141486177373
-0.00499744,0.8635692042711899,,-0.00499744,9.247048604458117,,-0.00499744,2.9474620534519014
-0.00499712,0.8635692042711899,,-0.00499712,9.262971871856237,,-0.00499712,2.93166063526558
-0.0049968,0.8603291292667643,,-0.0049968,9.269341178815486,,-0.0049968,2.9506223370891655
-0.00499648,0.8570890542623387,,-0.00499648,9.266156525335862,,-0.00499648,2.9506223370891655
-0.00499616,0.8506089042534875,,-0.00499616,9.313926327530226,,-0.00499616,2.956942904363694
-0.0049958400000000005,0.8570890542623387,,-0.0049958400000000005,9.333034248407971,,-0.0049958400000000005,2.969584038912751
-0.00499552,0.8668092792756155,,-0.00499552,9.326664941448723,,-0.00499552,2.972744322550015
-0.0049952,0.870049354280041,,-0.0049952,9.355326822765342,,-0.0049952,2.9790648898245435
-0.00499488,0.8668092792756155,,-0.00499488,9.371250090163462,,-0.00499488,2.9917060243736007
-0.00499456,0.8830096542977435,,-0.00499456,9.390358011041208,,-0.00499456,2.982225173461808
-0.0049942400000000005,0.8765295042888923,,-0.0049942400000000005,9.409465931918954,,-0.0049942400000000005,2.982225173461808
-0.00499392,0.8668092792756155,,-0.00499392,9.412650585398577,,-0.00499392,2.982225173461808
-0.0049936,0.8635692042711899,,-0.0049936,9.425389199317074,,-0.0049936,2.994866308010865
-0.00499328,0.8538489792579131,,-0.00499328,9.460420387592942,,-0.00499328,3.010667726197186
-0.00499296,0.8959699543154459,,-0.00499296,9.463605041072565,,-0.00499296,3.007507442559922
-0.0049926400000000004,0.886249729302169,,-0.0049926400000000004,9.48271296195031,,-0.0049926400000000004,3.023308860746243
