freq,gain,phase
1,0.12002166273003931,-91.68499348156567
1.2589254117941673,0.15177002277312712,-91.4730869976358
1.5848931924611136,0.18993902297026288,-91.94627844749552
1.9952623149688797,0.23883441583115095,-91.44796381285585
2.51188643150958,0.3010500132223006,-92.4229318353187
3.1622776601683795,0.37666219271574386,-92.90467727613213
3.981071705534973,0.47223073211718414,-93.15557079241324
5.011872336272724,0.5932513517752339,-93.79872422157428
6.309573444801933,0.7463822176137439,-94.70246827732274
7.943282347242816,0.9369566031913596,-95.815355521752
10,1.1763418300608215,-97.12998814519977
12.589254117941675,1.475037403623722,-98.63125570014432
15.848931924611142,1.8433394040453197,-101.19572483553907
19.952623149688797,2.297344795724159,-103.87024815047084
25.11886431509581,2.8466848228171786,-107.04541508359125
31.622776601683793,3.4948643579687975,-110.99480637397144
39.810717055349734,4.246248186734083,-115.67861510108884
50.11872336272725,5.074781104183346,-121.17137503377703
63.09573444801933,5.936559425183422,-127.15348990586811
79.43282347242817,6.795291401957522,-133.57650955426908
100,7.5843102275767205,-140.06781287498347
125.89254117941675,8.233202465320096,-146.35485718732656
158.48931924611142,8.745899742996741,-152.1432357093677
199.52623149688807,9.133750124636256,-157.22219336676108
251.18864315095823,9.40499964317112,-161.60635978734985
316.22776601683796,9.595121758896333,-165.31019207780363
398.1071705534973,9.72053922948324,-168.433841584564
501.18723362727246,9.79658382047052,-170.76085748745015
630.9573444801937,9.850160239289947,-172.8786974321191
794.3282347242822,9.886687761181195,-174.51073782472147
1000,9.882583650549105,-175.76754579393346
1258.9254117941675,9.92143634212098,-177.23663752999164
1584.893192461114,9.928828518984155,-178.19501722241148
1995.262314968881,9.932111499250187,-179.03055957695258
2511.886431509582,9.954570485408075,-180.09783726549722
3162.2776601683795,9.93692047141952,-181.05255093389079
3981.0717055349733,9.920571984655131,-182.3160809231279
5011.872336272725,9.932625531661504,-183.15029435936768
6309.573444801937,9.926095286648366,-184.61179675898103
7943.282347242822,9.891673410435647,-186.09078646550483
10000,9.879086636847996,-187.73647131231888
12589.254117941688,9.81893103463797,-190.35179840514823
15848.93192461114,9.724645942964836,-193.1698090397625
19952.62314968879,9.59955731249478,-196.32624486665293
25118.864315095823,9.405548723076258,-200.8455229013876
31622.776601683792,9.11900828035269,-205.99737741052613
39810.71705534977,8.695617293360776,-211.8635936608832
50118.72336272725,8.1463128702847,-218.63997685230595
63095.73444801943,7.430174681477817,-226.14174931393487
79432.82347242821,6.597802987123442,-234.0400172864257
100000,5.701939078618261,-242.11516644376908
125892.54117941688,4.816445059773167,-249.5708101856888
158489.3192461114,3.980244651767246,-257.49110815850423
199526.2314968883,3.2406313394452297,-264.95328818945814
251188.6431509582,2.601778702622904,-272.51946342520625
316227.7660168379,2.0773960727417995,-279.22879852879856
398107.17055349774,1.6418843920910255,-287.9989681355253
501187.2336272725,1.2797828813443535,-297.18118953099287
630957.3444801943,0.9970208227277532,-306.65066105270273
794328.2347242822,0.748831143657777,-316.94501851822656
1000000,0.5517715720305403,-332.0587782752855
