X--Trace 1::[CH1],Y--Trace 1::[CH1],,X--Trace 2::[CH2],Y--Trace 2::[CH2],,X--Trace 3::[CH3],Y--Trace 3::[CH3]
-0.005,3.131621707369111,,-0.005,14.148230309599827,,-0.005,4.483359901162317
-0.00499968,3.160782382408941,,-0.00499968,14.116383774803584,,-0.00499968,4.480199617525053
-0.0049993600000000004,3.167262532417792,,-0.0049993600000000004,14.125937735242456,,-0.0049993600000000004,4.489680468436846
-0.00499904,3.160782382408941,,-0.00499904,14.13549169568133,,-0.00499904,4.502321602985902
-0.00499872,3.167262532417792,,-0.00499872,14.141861002640578,,-0.00499872,4.514962737534959
-0.0049984,3.1737426824266435,,-0.0049984,14.138676349160953,,-0.0049984,4.533924439358545
-0.00499808,3.170502607422218,,-0.00499808,14.129122388722081,,-0.00499808,4.5434052902703375
-0.00499776,3.180222832435495,,-0.00499776,14.13549169568133,,-0.00499776,4.540245006633073
-0.00499744,3.199663282462048,,-0.00499744,14.132307042201704,,-0.00499744,4.540245006633073
-0.00499712,3.2061434324708995,,-0.00499712,14.113199121323959,,-0.00499712,4.55288614118213
-0.0049968,3.2061434324708995,,-0.0049968,14.129122388722081,,-0.0049968,4.556046424819394
-0.00499648,3.202903357466474,,-0.00499648,14.113199121323959,,-0.00499648,4.5623669920939225
-0.00499616,3.2061434324708995,,-0.00499616,14.129122388722081,,-0.00499616,4.568687559368452
-0.0049958400000000005,3.209383507475325,,-0.0049958400000000005,14.129122388722081,,-0.0049958400000000005,4.593969828466565
-0.00499552,3.2385441825151555,,-0.00499552,14.106829814364712,,-0.00499552,4.600290395741093
-0.0049952,3.225583882497453,,-0.0049952,14.125937735242456,,-0.0049952,4.612931530290151
-0.00499488,3.251504482532858,,-0.00499488,14.125937735242456,,-0.00499488,4.606610963015622
-0.00499456,3.251504482532858,,-0.00499456,14.122753081762832,,-0.00499456,4.603450679378358
-0.0049942400000000005,3.2385441825151555,,-0.0049942400000000005,14.132307042201704,,-0.0049942400000000005,4.625572664839208
-0.00499392,3.251504482532858,,-0.00499392,14.125937735242456,,-0.00499392,4.616091813927415
-0.0049936,3.280665157572688,,-0.0049936,14.125937735242456,,-0.0049936,4.631893232113736
-0.00499328,3.2741850075638372,,-0.00499328,14.110014467844335,,-0.00499328,4.6603357848491145
-0.00499296,3.2709449325594115,,-0.00499296,14.125937735242456,,-0.00499296,4.6603357848491145
-0.0049926400000000004,3.280665157572688,,-0.0049926400000000004,14.132307042201704,,-0.0049926400000000004,4.663496068486379
-0.00499232,3.267704857554986,,-0.00499232,14.132307042201704,,-0.00499232,4.669816635760907
-0.004992,3.2709449325594115,,-0.004992,14.119568428283207,,-0.004992,4.676137203035435
-0.00499168,3.2871453075815396,,-0.00499168,14.106829814364712,,-0.00499168,4.682457770309964
-0.00499136,3.300105607599242,,-0.00499136,14.116383774803584,,-0.00499136,4.701419472133549
-0.00499104,3.296865532594816,,-0.00499104,14.13549169568133,,-0.00499104,4.6982591884962845
