freq,gain,phase
10,0.9589098721889147,-0.03175492793037904
12.589254117941675,0.9588893263165129,-0.0346982608998303
15.848931924611133,0.9588955678151002,-0.04937694775945545
19.952623149688797,0.9589093156224614,-0.06281310401425344
25.118864315095795,0.9588499683900933,-0.08339213443764493
31.622776601683793,0.9586348584590284,-0.08071367662032003
39.810717055349734,0.9587478994680758,-0.11970054917962614
50.11872336272725,0.9587826367286254,-0.14824460247757543
63.09573444801933,0.9586938264098139,-0.19236252487311845
79.43282347242814,0.9586966618813735,-0.22811750026552602
100,0.9586786545099288,-0.2808595357564059
125.89254117941675,0.958699855732419,-0.36263103635241123
158.48931924611142,0.9587471933239019,-0.45004806293343336
199.52623149688787,0.9587522532379789,-0.5785046336651618
251.18864315095823,0.9587346112323469,-0.7188951502357952
316.22776601683796,0.9587258573590658,-0.9023102492138264
398.1071705534973,0.9587015175400362,-1.1464282109026556
501.18723362727246,0.958563671772945,-1.4466645768677893
630.957344480193,0.9584419372712919,-1.8131301510065896
794.3282347242822,0.9581816292735804,-2.28675398430795
1000,0.9578395283643908,-2.8685337866893406
1258.9254117941675,0.9572211287982021,-3.612346173100434
1584.893192461114,0.9562994902555128,-4.537874058871921
1995.262314968881,0.9547821661625008,-5.708950312386293
2511.886431509582,0.9525080419133582,-7.180770903627831
3162.2776601683795,0.9489381439336976,-9.00733100626087
3981.0717055349733,0.9433547937928929,-11.276639940704342
5011.872336272725,0.9347354785988163,-14.104673683589482
6309.573444801937,0.9217376809369242,-17.5701973226318
7943.282347242822,0.9024017949747712,-21.77469414677492
10000,0.8746713072674487,-26.759852270123787
12589.254117941662,0.8365633153420571,-32.50965744427745
15848.93192461114,0.7877397688661094,-38.9353613224761
19952.62314968883,0.7298250050878451,-45.82164278710847
25118.864315095823,0.6678045703294697,-52.88527801025184
31622.776601683792,0.6097718283092545,-59.861007117504585
39810.71705534969,0.5675090328816279,-66.61155957458584
50118.72336272725,0.5627642192464853,-73.23299207931422
63095.73444801943,0.6706396359781105,-80.83478522111452
79432.82347242821,2.2994990809399654,-113.47837723929231
100000,0.49311605014696636,-254.43337865496466
125892.54117941688,0.1369372116259974,-264.3992736592134
158489.3192461114,0.05208995557508608,-269.9681804152643
199526.2314968879,0.02350604645107761,-276.8956221945486
251188.6431509582,0.01159555406618834,-282.2041247059064
316227.7660168379,0.005961512614636067,-288.21585773380616
398107.17055349774,0.0033777427966900173,-292.60764403717263
501187.2336272725,0.002047053672387647,-304.3241956851547
630957.3444801943,0.0014805631585321393,-301.34303510595925
794328.2347242822,0.0013176616929284632,-308.49290167556586
1000000,0.002015261970332625,-327.7828553830317
