freq,gain,phase
10,0.018098335634889294,86.33655240772538
12.589254117941675,0.02272574938230739,84.26124621152314
15.848931924611133,0.028609857570323773,83.7855369451524
19.952623149688797,0.03578768195268257,83.53455754336147
25.118864315095795,0.04485050062708851,83.16157951499139
31.622776601683793,0.05635109315776241,80.53840012338951
39.810717055349734,0.07026226891239329,79.93656524337801
50.11872336272725,0.08754377915663444,77.24051072372325
63.09573444801933,0.10929203163597312,74.77434185300771
79.43282347242814,0.13508920216487114,70.86574432536327
100,0.16616714464111307,66.55644798998657
125.89254117941675,0.20191697696880634,61.791750527381055
158.48931924611142,0.24177125077953018,55.60865023921201
199.52623149688787,0.28393368031000044,48.79798450664964
251.18864315095823,0.32560452738887935,41.086216698949556
316.22776601683796,0.3636132672311968,32.885061529553354
398.1071705534973,0.39487801430503555,24.382154963372948
501.18723362727246,0.4176385686634792,15.784135104405266
630.957344480193,0.43069111049500935,7.160096300716987
794.3282347242822,0.4342267504353416,-1.5886687677499651
1000,0.42771934137877626,-10.421442674128656
1258.9254117941675,0.41156182172510947,-19.28836464540791
1584.893192461114,0.38602425004690566,-28.19061750984733
1995.262314968881,0.3522852311974193,-37.16416382565933
2511.886431509582,0.31325762390849987,-45.52128034303493
3162.2776601683795,0.271332631591772,-53.703933729946556
3981.0717055349733,0.22984339631739675,-61.34534926559837
5011.872336272725,0.19118857354398866,-68.09662502726229
6309.573444801937,0.15672659545868445,-74.36398660498796
7943.282347242822,0.12713923655340673,-80.09593625063599
10000,0.10216545893738382,-85.13028193020091
12589.254117941662,0.08154880150333452,-90.19467063429107
15848.93192461114,0.06454224854873425,-95.34552122538534
19952.62314968883,0.05083896124177629,-100.23665493970438
25118.864315095823,0.039535512577009525,-107.44449679166183
31622.776601683792,0.030114407709995093,-114.46851397429053
39810.71705534969,0.022479608667862253,-121.98592800838324
50118.72336272725,0.016117815993186013,-129.22644991708506
63095.73444801943,0.011151814408505219,-140.10793054843083
79432.82347242821,0.007467326010600023,-148.08567546142507
100000,0.005007045097293366,-158.53764108404434
125892.54117941688,0.003307049256342018,-172.3750169381917
158489.3192461114,0.001760193545646911,-190.67528457557776
199526.2314968879,0.0012524655531578827,-192.80340318027308
251188.6431509582,0.000803129818160326,-249.26439488684045
316227.7660168379,0.0004998437826941386,-258.99435585645244
398107.17055349774,0.0005956660357970585,-261.05802059535256
501187.2336272725,0.0009980088103735756,-362.9795586636518
630957.3444801943,0.0013076040933428094,-309.565649091887
794328.2347242822,0.0010841117179404345,-394.9675121714421
1000000,0.0011548118234859341,-277.364286289475
