freq,gain,phase
10,9.73913197583275,-179.98123944456535
12.589254117941675,9.733593899642822,-179.9644009931403
15.848931924611133,9.73442608328427,-180.05624796227156
19.952623149688797,9.733071134799784,-179.9251079245118
25.118864315095795,9.73583996128978,-180.03075770658575
31.622776601683793,9.734719110421365,-179.90152203237813
39.810717055349734,9.73561348713637,-180.07404984466228
50.11872336272725,9.736782176197291,-180.05942341633641
63.09573444801933,9.73235860947604,-180.01218853437405
79.43282347242814,9.731701736681757,-180.08531328872235
100,9.734811062919148,-180.11100488004865
125.89254117941675,9.737496488384483,-180.04220455756686
158.48931924611142,9.731966256602306,-180.15217478065279
199.52623149688787,9.735861417464047,-180.17787062303847
251.18864315095823,9.733637958056509,-180.232382478038
316.22776601683796,9.734901819617912,-180.17932966901753
398.1071705534973,9.734149080676687,-180.29165695542355
501.18723362727246,9.735865302207836,-180.39512907369775
630.957344480193,9.737580337756427,-180.54398398076512
794.3282347242822,9.734686863110902,-180.64825886784726
1000,9.737463058777724,-180.85385334931127
1258.9254117941675,9.730699150315411,-181.13952655596916
1584.893192461114,9.731932223846432,-181.2809799491662
1995.262314968881,9.730942557010083,-181.67074713639033
2511.886431509582,9.734570785700424,-182.07908049873103
3162.2776601683795,9.727586456566726,-182.60611346284068
3981.0717055349733,9.721932661143663,-183.25095434946428
5011.872336272725,9.718091341280271,-184.22112045396787
6309.573444801937,9.705460249483783,-185.2315237590414
7943.282347242822,9.685758878472939,-186.63317969343936
10000,9.653464099962235,-188.37541585037715
12589.254117941662,9.597153093631846,-190.56314938852717
15848.93192461114,9.514027984906406,-193.15957328359403
19952.62314968883,9.38047626376638,-196.59986991243093
25118.864315095823,9.168783452989969,-200.75077820482252
31622.776601683792,8.855899904645282,-205.7906534602317
39810.71705534969,8.402111582573422,-211.7498115826808
50118.72336272725,7.786500305870475,-218.54521969108652
63095.73444801943,7.008309423862743,-225.968811809101
79432.82347242821,6.120375119087321,-233.49289757292598
100000,5.197279519691793,-240.77081203262648
125892.54117941688,4.316600523037523,-247.46121437286874
158489.3192461114,3.5274523539120226,-253.55874338110962
199526.2314968879,2.851254476545752,-259.08714025705837
251188.6431509582,2.2890144839734696,-263.8445099816477
316227.7660168379,1.8266855543618494,-268.49917580614294
398107.17055349774,1.4479593851301071,-273.630002921603
501187.2336272725,1.1468429875243695,-277.84259769592455
630957.3444801943,0.9051226998451245,-282.86523949079316
794328.2347242822,0.7046056850232857,-287.8911598933113
1000000,0.5496839728544612,-294.656636471854
