freq,gain,phase
10,100.17602283901991,-0.07409807764891241
12.589254117941675,100.1263612500114,-0.07964577875790724
15.848931924611133,100.1351784997168,-0.10550371237218314
19.952623149688797,100.15864500603585,-0.09157837810369074
25.118864315095795,100.12125322667532,-0.2514962681312056
31.622776601683793,100.10818093361533,-0.273066153115451
39.810717055349734,100.1116503928957,-0.2777114136635248
50.11872336272725,100.11453406719377,-0.3254340799984803
63.09573444801933,100.12293534295557,-0.5041181612646
79.43282347242814,100.08556827889983,-0.5770183465611751
100,100.09806961432514,-0.7590695012665947
125.89254117941675,100.12127125418108,-0.852531485871765
158.48931924611142,100.06134368868827,-1.1925766925354822
199.52623149688787,100.09980092154292,-1.4457288412532705
251.18864315095823,100.07092155011354,-1.7819789199717206
316.22776601683796,100.05025167033182,-2.2765542228760296
398.1071705534973,100.04002203034571,-2.8669694963268952
501.18723362727246,99.9322811842739,-3.5803171610373283
630.957344480193,99.79633828971494,-4.537880516966382
794.3282347242822,99.66482085545377,-5.778348306298966
1000,99.41631308714912,-7.253099150125081
1258.9254117941675,98.95726348979815,-9.09780152216652
1584.893192461114,98.25248466174526,-11.459290024474342
1995.262314968881,97.18499142072284,-14.322569995171136
2511.886431509582,95.44589015306494,-18.09000078543923
3162.2776601683795,92.82738969933565,-22.571308061593697
3981.0717055349733,88.86589752816886,-28.056215101805208
5011.872336272725,83.30176806211432,-34.411021522655005
6309.573444801937,75.88622264642676,-41.51995122799251
7943.282347242822,67.01375254578413,-48.87825701451716
10000,57.40589784816933,-56.1118506092846
12589.254117941662,47.97910185420121,-62.642108971123776
15848.93192461114,39.32151868583734,-68.29316114517252
19952.62314968883,31.807997073192464,-73.05210390470867
25118.864315095823,25.520117580541267,-76.97807614488377
31622.776601683792,20.374425455954917,-80.2092608422556
39810.71705534969,16.229255096492576,-82.85901364633924
50118.72336272725,12.901928982000609,-84.9977941890246
63095.73444801943,10.241816343633744,-86.92482524504999
79432.82347242821,7.922664898451045,-88.38648008742229
100000,6.295933434004321,-90.07222034248294
125892.54117941688,5.002028295642024,-91.78899084262133
158489.3192461114,3.9703478195167503,-93.52854816259739
199526.2314968879,3.153439541083999,-95.56724356276469
251188.6431509582,2.5015627915167062,-97.62843708132196
316227.7660168379,1.9840084299415957,-100.65350667209589
398107.17055349774,1.5731649088338926,-103.4494852450539
501187.2336272725,1.2465996554167074,-107.36342927987153
630957.3444801943,0.9867478903596199,-111.60407803223404
794328.2347242822,0.7792430060940925,-116.82101813989632
1000000,0.619229296476325,-126.04229281279709
