freq,CH1,,freq2,CH2
-0.25,0.10196184888702783,,-0.25,0.0019995531089404867
-0.24998437,0.1031662544039979,,-0.24998437,0.0019995531089404867
-0.24996874,-0.0936871362029993,,-0.24996874,1.0274579735479465
-0.24995311,-0.09449007321431267,,-0.24995311,1.5306332233285769
-0.24993748,-0.09408860470865599,,-0.24993748,1.7790361947392679
-0.24992185,-0.09515918739040716,,-0.24992185,1.8363599573725042
-0.24990622,-0.09489154171996937,,-0.24990622,1.912791640883486
-0.24989059,-0.09542683306084496,,-0.24989059,1.909606987403862
-0.24987496,-0.09663123857781503,,-0.24987496,1.8968683734853649
-0.24985933,-0.09556065589606386,,-0.24985933,1.8745757991279952
-0.2498437,-0.09569447873128276,,-0.2498437,1.871391145648371
-0.24982807,-0.09489154171996937,,-0.24982807,1.8522832247706253
-0.24981244,-0.0934194905325615,,-0.24981244,1.8172520364947589
-0.24979681,-0.09542683306084496,,-0.24979681,1.8172520364947589
-0.24978118,-0.09556065589606386,,-0.24978118,1.794959462137389
-0.24976555,-0.09408860470865599,,-0.24976555,1.7790361947392679
-0.24974992,-0.09622977007215834,,-0.24974992,1.7726668877800194
-0.24973429,-0.09462389604953157,,-0.24973429,1.7631129273411466
-0.24971866,-0.09676506141303393,,-0.24971866,1.7503743134226497
-0.24970303,-0.09556065589606386,,-0.24970303,1.7248970855856558
-0.2496874,-0.09422242754387489,,-0.2496874,1.715343125146783
-0.24967177,-0.09596212440172054,,-0.24967177,1.7248970855856558
-0.24965614,-0.09515918739040716,,-0.24965614,1.6866812438301648
-0.24964051,-0.09395478187343709,,-0.24964051,1.6739426299116678
-0.24962488,-0.09663123857781503,,-0.24962488,1.6675733229524194
-0.24960925,-0.09449007321431267,,-0.24960925,1.6484654020746738
-0.24959362,-0.09596212440172054,,-0.24959362,1.6293574811969285
-0.24957799,-0.09636359290737724,,-0.24957799,1.6261728277173042
-0.24956236,-0.09569447873128276,,-0.24956236,1.6134342137988074
-0.24954673,-0.09529301022562606,,-0.24954673,1.6070649068395588
-0.2495311,-0.09542683306084496,,-0.2495311,1.5911416394414375
-0.24951547,-0.09489154171996937,,-0.24951547,1.5624797581248193
-0.24949984,-0.09582830156650164,,-0.24949984,1.5529257976859467
-0.24948421,-0.09515918739040716,,-0.24948421,1.5465564907266982
-0.24946858,-0.09408860470865599,,-0.24946858,1.5274485698489526
-0.24945295,-0.09435625037909379,,-0.24945295,1.51789460941008
-0.24943732,-0.09489154171996937,,-0.24943732,1.5019713420119587
-0.24942169,-0.09663123857781503,,-0.24942169,1.4892327280934619
-0.24940606,-0.0936871362029993,,-0.24940606,1.479678767654589
-0.24939043,-0.09529301022562606,,-0.24939043,1.4542015398175951
-0.2493748,-0.09462389604953157,,-0.2493748,1.4510168863379709
-0.24935917,-0.09489154171996937,,-0.24935917,1.4510168863379709
-0.24934354,-0.09596212440172054,,-0.24934354,1.4350936189398498
-0.24932791,-0.09502536455518827,,-0.24932791,1.4446475793787223
-0.24931228,-0.09703270708347171,,-0.24931228,1.4064317376232316
-0.24929665,-0.09582830156650164,,-0.24929665,1.3968777771843588
-0.24928102,-0.09663123857781503,,-0.24928102,1.3936931237047345
-0.24926539,-0.09422242754387489,,-0.24926539,1.3809545097862375
-0.24924976,-0.09529301022562606,,-0.24924976,1.3554772819492436
-0.24923413,-0.09515918739040716,,-0.24923413,1.3522926284696193
-0.2492185,-0.09449007321431267,,-0.2492185,1.3395540145511224
-0.24920287,-0.09622977007215834,,-0.24920287,1.323630747153001
-0.24918724,-0.09449007321431267,,-0.24918724,1.3268154006326254
-0.24917161,-0.09649741574259613,,-0.24917161,1.2981535193160072
-0.24915598,-0.09582830156650164,,-0.24915598,1.2885995588771344
-0.24914035,-0.09435625037909379,,-0.24914035,1.2917842123567587
-0.24912472,-0.09703270708347171,,-0.24912472,1.282230251917886
-0.24910909,-0.09609594723693944,,-0.24910909,1.282230251917886
-0.24909346,-0.09529301022562606,,-0.24909346,1.2471990636420194
-0.24907783,-0.09569447873128276,,-0.24907783,1.2376451032031466
-0.2490622,-0.09489154171996937,,-0.2490622,1.2344604497235223
-0.24904657,-0.09636359290737724,,-0.24904657,1.231275796243898
-0.24903094,-0.09462389604953157,,-0.24903094,1.2344604497235223
-0.24901531,-0.0938209590382182,,-0.24901531,1.2026139149272799
-0.24899968,-0.09515918739040716,,-0.24899968,1.215352528845777
-0.24898405,-0.09529301022562606,,-0.24898405,1.177136687090286
-0.24896842,-0.09556065589606386,,-0.24896842,1.189875301008783
-0.24895279,-0.09703270708347171,,-0.24895279,1.177136687090286
-0.24893716,-0.09636359290737724,,-0.24893716,1.1548441127329163
-0.24892153,-0.09676506141303393,,-0.24892153,1.1484748057736678
-0.2489059,-0.09515918739040716,,-0.2489059,1.1293668848959224
-0.24889027,-0.09569447873128276,,-0.24889027,1.1293668848959224
-0.24887464,-0.09301802202690482,,-0.24887464,1.1198129244570496
-0.24885901,-0.09462389604953157,,-0.24885901,1.1070743105385528
-0.24884338,-0.09622977007215834,,-0.24884338,1.1229975779366739
-0.24882775000000001,-0.09676506141303393,,-0.24882775000000001,1.0752277757423103
-0.24881212,-0.09663123857781503,,-0.24881212,1.0879663896608072
-0.24879649,-0.09649741574259613,,-0.24879649,1.0752277757423103
-0.24878086,-0.09529301022562606,,-0.24878086,1.084781736181183
-0.24876523,-0.09502536455518827,,-0.24876523,1.0624891618238133
-0.2487496,-0.09529301022562606,,-0.2487496,1.0529352013849405
-0.24873397,-0.09622977007215834,,-0.24873397,1.0401965874664436
-0.24871834,-0.09556065589606386,,-0.24871834,1.0306426270275708
-0.24870271,-0.09529301022562606,,-0.24870271,1.0274579735479465
-0.24868708,-0.09462389604953157,,-0.24868708,1.0242733200683223
-0.24867145,-0.09609594723693944,,-0.24867145,0.9956114387517042
-0.24865582,-0.09556065589606386,,-0.24865582,1.017904013109074
-0.24864019,-0.09689888424825283,,-0.24864019,1.0019807457109526
-0.24862456,-0.09422242754387489,,-0.24862456,0.9765035178739587
-0.24860893,-0.09622977007215834,,-0.24860893,0.9733188643943345
-0.2485933,-0.09716652991869061,,-0.2485933,0.9733188643943345
-0.24857767,-0.09649741574259613,,-0.24857767,0.9637649039554618
-0.24856204,-0.09556065589606386,,-0.24856204,0.941472329598092
-0.24854641,-0.09649741574259613,,-0.24854641,0.9510262900369648
-0.24853078,-0.09556065589606386,,-0.24853078,0.9446569830777163
-0.24851515,-0.09395478187343709,,-0.24851515,0.9255490621999708
-0.24849952,-0.09569447873128276,,-0.24849952,0.9351030226388436
-0.24848389,-0.09676506141303393,,-0.24848389,0.9223644087203466
-0.24846826,-0.09502536455518827,,-0.24846826,0.9255490621999708
-0.24845263,-0.09689888424825283,,-0.24845263,0.9096257948018497
-0.248437,-0.09716652991869061,,-0.248437,0.8905178739241042
-0.24842137,-0.09542683306084496,,-0.24842137,0.8777792600056072
-0.24840574,-0.09622977007215834,,-0.24840574,0.8905178739241042
-0.24839011,-0.09449007321431267,,-0.24839011,0.8937025274037285
-0.24837448,-0.09676506141303393,,-0.24837448,0.8714099530463587
-0.24835885,-0.09609594723693944,,-0.24835885,0.861855992607486
-0.24834322,-0.09636359290737724,,-0.24834322,0.8491173786889891
-0.24832759000000001,-0.09649741574259613,,-0.24832759000000001,0.836378764770492
-0.24831196,-0.09596212440172054,,-0.24831196,0.8331941112908678
-0.24829633,-0.09622977007215834,,-0.24829633,0.8204554973723709
-0.2482807,-0.09622977007215834,,-0.2482807,0.8395634182501163
-0.24826507,-0.09449007321431267,,-0.24826507,0.8172708438927466
-0.24824944,-0.09622977007215834,,-0.24824944,0.8077168834538738
-0.24823381,-0.09582830156650164,,-0.24823381,0.8077168834538738
-0.24821818,-0.09609594723693944,,-0.24821818,0.8045322299742497
-0.24820255,-0.09462389604953157,,-0.24820255,0.7949782695353769
-0.24818692,-0.09609594723693944,,-0.24818692,0.7790550021372556
-0.24817129,-0.09596212440172054,,-0.24817129,0.7854243090965042
-0.24815566,-0.09636359290737724,,-0.24815566,0.769501041698383
-0.24814003,-0.09462389604953157,,-0.24814003,0.7631317347391344
-0.2481244,-0.09408860470865599,,-0.2481244,0.7599470812595103
-0.24810877,-0.09596212440172054,,-0.24810877,0.7535777743002617
-0.24809314,-0.0934194905325615,,-0.24809314,0.744023813861389
-0.24807751,-0.09676506141303393,,-0.24807751,0.744023813861389
-0.24806188,-0.09582830156650164,,-0.24806188,0.7344698534225163
-0.24804625,-0.09288419919168592,,-0.24804625,0.7281005464632678
-0.24803062,-0.09622977007215834,,-0.24803062,0.7312851999428921
-0.24801499,-0.09556065589606386,,-0.24801499,0.7058079721058981
-0.24799936,-0.09582830156650164,,-0.24799936,0.7344698534225163
-0.24798373,-0.09449007321431267,,-0.24798373,0.6994386651466497
-0.2479681,-0.09716652991869061,,-0.2479681,0.7058079721058981
-0.24795247,-0.09542683306084496,,-0.24795247,0.7058079721058981
-0.24793684,-0.09636359290737724,,-0.24793684,0.6962540116670254
-0.24792121,-0.09475771888475047,,-0.24792121,0.6994386651466497
-0.24790558000000001,-0.09515918739040716,,-0.24790558000000001,0.6835153977485284
-0.24788995,-0.09542683306084496,,-0.24788995,0.6898847047077769
-0.24787432,-0.09569447873128276,,-0.24787432,0.6675921303504072
-0.24785869,-0.09649741574259613,,-0.24785869,0.6484842094726617
-0.24784306,-0.09395478187343709,,-0.24784306,0.6644074768707829
-0.24782743000000002,-0.09395478187343709,,-0.24782743000000002,0.6484842094726617
-0.2478118,-0.09435625037909379,,-0.2478118,0.6739614373096556
-0.24779617,-0.09663123857781503,,-0.24779617,0.6452995559930375
-0.24778054,-0.09622977007215834,,-0.24778054,0.6293762885949162
-0.24776491,-0.09502536455518827,,-0.24776491,0.6357455955541648
-0.24774928,-0.09582830156650164,,-0.24774928,0.6357455955541648
