freq,gain,phase
10,1.000479711123788,-0.7588191804140507
12.589254117941675,1.000753222117235,-0.9310872823414797
15.848931924611133,1.0004606513181082,-1.1856141862709535
19.952623149688797,1.000409685046469,-1.512012268515889
25.118864315095795,1.0006113799952547,-1.8160287135081248
31.622776601683793,0.9993891860502168,-2.5684736772369092
39.810717055349734,1.000362408013683,-2.9785013961623292
50.11872336272725,1.0001875041694492,-3.673043757073458
63.09573444801933,0.9998442914175141,-4.594381275725681
79.43282347242814,0.9999586063942113,-5.815305038708573
100,0.9993068921782314,-7.353986499100628
125.89254117941675,0.9988480805311006,-9.206861355393755
158.48931924611142,0.9980821854218888,-11.662726509458878
199.52623149688787,0.9963588812202928,-14.720654615493146
251.18864315095823,0.9934646195122198,-18.659944337401726
316.22776601683796,0.9886383176714049,-23.584217043422
398.1071705534973,0.9796113215215005,-29.982092083301893
501.18723362727246,0.9623125732626368,-38.23960316665223
630.957344480193,0.9285379646068965,-48.64694598798485
794.3282347242822,0.8666124676241094,-61.963574063938765
1000,0.7621410048180718,-77.90705936158379
1258.9254117941675,0.6161587116918605,-95.31930678838921
1584.893192461114,0.45579345240634744,-111.91313773237061
1995.262314968881,0.31474358861957663,-126.18651852648101
2511.886431509582,0.2079810978517519,-137.7615565196336
3162.2776601683795,0.13439956467906608,-147.00940021868877
3981.0717055349733,0.08590593871659657,-154.03864655248753
5011.872336272725,0.0543797706358566,-159.203775891323
6309.573444801937,0.03446923388576804,-165.51959040641975
7943.282347242822,0.021544608641938464,-169.22860155957937
10000,0.013551276379169187,-178.13717938707728
12589.254117941662,0.008646212593313043,-178.77091379030819
15848.93192461114,0.005495736689343968,-197.4653818002701
19952.62314968883,0.003988749404418784,-214.5307070866882
25118.864315095823,0.0034679744821061514,-237.3150207582912
31622.776601683792,0.00382743799156865,-256.08585083762813
39810.71705534969,0.004572133936860699,-263.29848830486935
50118.72336272725,0.005654294908834017,-265.2620398295097
63095.73444801943,0.007346114940551743,-273.7217196420882
79432.82347242821,0.008871261530752824,-274.0885768948152
100000,0.011404977921224742,-270.6857530626312
125892.54117941688,0.014263419767529628,-276.2345201131815
158489.3192461114,0.01810413769360692,-277.7665040689701
199526.2314968879,0.022725386440051516,-281.5248145338053
251188.6431509582,0.027857122996093994,-280.39603197373395
316227.7660168379,0.03524671039535751,-285.90819507469496
398107.17055349774,0.043695332195695796,-286.7595604577224
501187.2336272725,0.054613732175810566,-289.7728823612309
630957.3444801943,0.06758479471990808,-298.5815881173298
794328.2347242822,0.07981302753650828,-301.8274784815168
1000000,0.09700468969834189,-312.4841080211004
